File,Cluster
beatles_library/1969-09 Abbey Road (2009 Remaster)/02_Something.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/01_Come Together.mp3,2
beatles_library/1969-09 Abbey Road (2009 Remaster)/14_Golden Slumbers.mp3,0
beatles_library/1969-09 Abbey Road (2009 Remaster)/09_You Never Give Me Your Money.mp3,2
beatles_library/1969-09 Abbey Road (2009 Remaster)/13_She Came in Through the Bathroom Window.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/07_Here Comes the Sun.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/12_Polythene Pam.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/16_The End.mp3,2
beatles_library/1969-09 Abbey Road (2009 Remaster)/15_Carry That Weight.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/06_I Want You (She's So Heavy).mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/03_Maxwell's Silver Hammer.mp3,2
beatles_library/1969-09 Abbey Road (2009 Remaster)/10_Sun King.mp3,0
beatles_library/1969-09 Abbey Road (2009 Remaster)/05_Octopus's Garden.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/17_Her Majesty.mp3,2
beatles_library/1969-09 Abbey Road (2009 Remaster)/08_Because.mp3,0
beatles_library/1969-09 Abbey Road (2009 Remaster)/11_Mean Mr. Mustard.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/04_Oh! Darling.mp3,3
beatles_library/1969-09 Abbey Road (2009 Remaster)/Entire Album/Abbey Road.mp3,2
beatles_library/1966-08 Revolver/13_Got to Get You into My Life.mp3,2
"beatles_library/1966-08 Revolver/05_Here, There and Everywhere.mp3",0
beatles_library/1966-08 Revolver/10_For No One.mp3,0
beatles_library/1966-08 Revolver/04_Love You To.mp3,2
beatles_library/1966-08 Revolver/03_I'm Only Sleeping.mp3,1
beatles_library/1966-08 Revolver/12_I Want to Tell You.mp3,1
beatles_library/1966-08 Revolver/06_Yellow Submarine.mp3,2
beatles_library/1966-08 Revolver/09_And Your Bird Can Sing.mp3,1
beatles_library/1966-08 Revolver/02_Eleanor Rigby.mp3,0
beatles_library/1966-08 Revolver/14_Tomorrow Never Knows.mp3,1
beatles_library/1966-08 Revolver/08_Good Day Sunshine.mp3,2
beatles_library/1966-08 Revolver/01_Taxman.mp3,2
beatles_library/1966-08 Revolver/07_She Said She Said.mp3,1
beatles_library/1966-08 Revolver/11_Doctor Robert.mp3,1
beatles_library/1965-12 Rubber Soul (2009 Remaster)/08_What Goes On.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/11_In My Life.mp3,2
beatles_library/1965-12 Rubber Soul (2009 Remaster)/13_If I Needed Someone.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/10_I'm Looking Through You.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/01_Drive My Car.mp3,2
beatles_library/1965-12 Rubber Soul (2009 Remaster)/09_Girl.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/05_Think For Yourself.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/06_The Word.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/14_Run For Your Life.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/12_Wait.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/07_Michelle.mp3,0
beatles_library/1965-12 Rubber Soul (2009 Remaster)/02_Norwegian Wood (This Bird Has Flown).mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/04_Nowhere Man.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/03_You Won't See Me.mp3,3
beatles_library/1965-12 Rubber Soul (2009 Remaster)/Entire Album/Rubber Soul.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/13_A Day in the Life.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/08_Within You Without You.mp3,0
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/03_Lucy in the Sky With Diamonds.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/01_Sgt. Pepper's Lonely Hearts Club Band.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/11_Good Morning Good Morning.mp3,3
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/09_When I'm Sixty-Four.mp3,0
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/04_Getting Better.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/12_Sgt. Pepper's Lonely Hearts Club Band (Reprise).mp3,3
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/07_Being for the Benefit of Mr. Kite!.mp3,2
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/06_She's Leaving Home.mp3,0
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/02_With a Little Help from My Friends.mp3,3
